"","G","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","MP.1","PTS.1","TRB.1","AST.1","player_id","name","ws"
"6",38,1145,170,284,0,0,154,236,118,304,32,26,57,64,99,494,0.599,NA,0.653,30.1,13,8,0.8,"adebaba01","Bam Adebayo",2.3
"14",33,1061,179,316,0,7,84,149,100,278,27,19,51,84,68,442,0.566,0,0.564,32.2,13.4,8.4,0.8,"allenja01","Jarrett Allen",1.5
"15",68,1868,207,451,50,125,153,211,20,243,222,88,48,133,165,617,0.459,0.4,0.725,27.5,9.1,3.6,3.3,"allenka01","Kadeem Allen",0
"24",29,377,57,101,0,0,23,43,41,117,6,5,35,24,72,137,0.564,NA,0.535,13,4.7,4,0.2,"anigbik01","Ike Anigbogu",0.1
"26",50,868,134,238,27,74,47,90,70,177,41,48,47,54,85,342,0.563,0.365,0.522,17.4,6.8,3.5,0.8,"anunoog01","OG Anunoby",1.9
"38",69,1987,418,930,89,285,214,292,81,344,111,68,5,145,128,1139,0.449,0.312,0.733,28.8,16.5,5,1.6,"bacondw01","Dwayne Bacon",0
"42",36,1263,189,343,80,194,66,98,33,216,274,66,28,89,65,524,0.551,0.412,0.673,35.1,14.6,6,7.6,"balllo01","Lonzo Ball",1
"56",105,2591,345,566,3,16,121,192,224,719,155,111,234,162,241,814,0.61,0.188,0.63,24.7,7.8,6.8,1.5,"belljo01","Jordan Bell",2.3
"63",114,3013,450,1018,187,504,140,186,90,374,132,58,35,137,197,1227,0.442,0.371,0.753,26.4,10.8,3.3,1.2,"birdja01","Jabari Bird",0
"68",128,3925,627,1286,96,304,383,529,242,831,141,83,95,190,211,1733,0.488,0.316,0.724,30.7,13.5,6.5,1.1,"blossja01","Jaron Blossomgame",NA
"71",31,672,51,123,9,36,33,45,36,150,33,21,27,26,64,144,0.415,0.25,0.733,21.7,4.6,4.8,1.1,"boldejo01","Jonah Bolden",NA
"84",38,553,102,178,0,0,65,105,98,195,23,10,22,25,69,269,0.573,NA,0.619,14.6,7.1,5.1,0.6,"bradlto01","Tony Bradley",0
"91",109,3153,587,1243,133,367,305,384,174,495,279,96,51,234,320,1612,0.472,0.362,0.794,28.9,14.8,4.5,2.6,"brookdi01","Dillon Brooks",1
"104",136,3492,394,782,128,284,194,252,190,653,294,139,51,210,304,1110,0.504,0.451,0.77,25.7,8.2,4.8,2.2,"brownst02","Sterling Brown",0.2
"105",69,1745,305,515,28,75,204,284,146,428,84,43,84,136,203,842,0.592,0.373,0.718,25.3,12.2,6.2,1.2,"bryanth01","Thomas Bryant",0
